rating	review	book_title	user	review_title
3	COME ON. Where the hell is all the action? Geez....	The Hunger Games	Kiki	COME ON
5	LMAAAOOOO! Thats Peeta folks! xDHahahahaha, Totally! xDHAHAHAHAHA! Laughed my ass off on this! XDOMFG. HUNGER GAMES. CINEMA. O.O IT.WAS.FREAKING.AMAZING. Am I...am I still alive...? o.O *pinches myself* -ouch! Yes, I can stay alive for the next movie.And I was crying before the movie even starte...	The Hunger Games	Saniya	LMAAAOOOO
5	I was forced into watching Mockingjay: Part II this weekend. To clarify, I watched the second part of the last Hunger Games movie without having read any of the books, without having watched any of the movies.Needless to say, I was confused as fuck.So many questions and thoughts ran through my mi...	The Hunger Games	Khanh, first of her name, mother of bunnies	I was forced into watching
5	What a dreadfully amazing ending! Thank goodness I have the rest of the series on hand. :D	The Hunger Games	Dija	What a dreadfully amazing ending
4	"Suzanne Collins has balls ovaries of steel to make us willingly cheer for a teenage girl to kill other children. In a YA book. Two reasons why this book rocks: (a) It is not Twilight, and (b) I really hate reality shows.  Seriously, how long would it take for reality shows to evolve from ""Survivo..."	The Hunger Games	Nataliya	Suzanne Collins has balls ovaries
1	A lot of things are troubling me about The Hunger Games. A lot of things which I more and more perceive and which are not solely connected with this book but with the metaphor behind the words. People attach themselves to fictional freedom without seeing what really something is and which unfortu...	The Hunger Games	Jana	A lot of things are
2	If I were a teenager or recommending this to a teen, I might give it 3*; as an adult, I give it 2*.PLOTIt's a potentially exciting but gruesome story, but most of the characters were rather flat, much of the plot was predictable (it's not hugely original; in particular, it is VERY similar to the...	The Hunger Games	Cecily	If I were a teenager
5	For a long time now, Ive wanted to rewrite my review of The Hunger Games so that I could tell you why I dont just love this series, but why I also think its important. It is beautiful for the unflinching way it shows you, as a reader, your own willingness to disregard people who are different...	The Hunger Games	Meredith Holley	For a long time now,
4	Happy Hunger Games! And may the odds be ever in your favor. Every year, Panem (post-apacolyptic North America) hosts a Hunger Games involving one female and one male representative from each of its twelve districts to fight to the death. All of the Districts of Panem must watch the Games as a...	The Hunger Games	Miranda Reads	Happy Hunger Games
4	"""I don't know how to say it exactly. Only...I want to die as myself. I don't want them to change me in there. Turn me into some kind of monster that I'm not. I keep wishing I could think of a way to...to show the Capitol that they don't own me. That I'm more than just a piece in their Games."" ..."	The Hunger Games	~Poppy~	"""I don't know how to"
5	"I LOVE THIS BOOK! I've said to a few people that if I wasn't married, I'd have to marry this book. :) I read the 400 page ARC in a less-than-24-hour time period (so quickly that it was never even on my ""currently reading"" shelf), which I've only done before with HP books, and I've just officially..."	The Hunger Games	elissa	I LOVE THIS BOOK
4	Fantastically Written? Ooooh yeah! Compelling? Yup! Super Quick Read? Most definitely! Original? Um...well *shuffles feet, since I seem to be a rare non-five star-er* not original at all really.... Man, I wish someone on my friends list here has also read Battle Royale and this book! The Hunger G...	The Hunger Games	Colleen Venable	Fantastically Written
5	Clearly Gregor was merely the prelude. Suzanne Collins, youve been holding out on us, missy. As an author we were accustomed to your fun adventures involving a boy, his sister, and a world beneath our world. I think it's fair to say that we werent really expecting something like The Hunger Game...	The Hunger Games	Betsy	Clearly Gregor was merely the
4	This book is great... but how did Collins not get sued for completely reproducing Battle Royale?	The Hunger Games	Emily May	This book is great
